caseName,IVT,U925,V925,WS925,WD925,LTS
ish_20010101,177.06881377367588,-4.330728,-7.2839684,8.474161,30.733856201171875,17.127999999999986
ish_20010102,46.12702956823952,-0.39574704,-1.5862218,1.6348442,14.008750915527344,22.33000000000004
ish_20010105,368.0167433547996,-14.0399885,-0.29561123,14.0431,88.79380798339844,12.44300000000004
ish_20010106,514.0688604001025,-14.829838,8.487774,17.087025,119.784423828125,13.863999999999976
ish_20010108,256.2768441337933,-5.946648,-5.7214394,8.25212,46.10572814941406,20.88499999999999
ish_20010110,280.1807278980754,-4.7597747,-7.6513233,9.011004,31.8851318359375,14.276999999999987
ish_20010112,165.0723221283469,-8.246049,-1.631751,8.405947,78.80674743652344,12.785000000000025
ish_20010117,81.3788160961393,-2.882471,-4.208222,5.100762,34.409645080566406,19.61500000000001
ish_20010118,143.35256230385414,-6.1930795,3.9896343,7.366914,122.78997802734375,14.114000000000033
ish_20010119,103.14585838164247,-4.4150734,2.682328,5.1660194,121.28030395507812,12.692000000000007
ish_20010121,156.83123874229258,-4.299192,-6.103125,7.4653325,35.16180419921875,17.581000000000017
ish_20010124,218.93468748909484,-3.609356,3.4162714,4.9697447,133.42575073242188,15.168000000000006
ish_20010203,214.91570494937451,-7.5902543,0.6255274,7.6159863,94.71122741699219,14.17999999999995
ish_20010205,104.56063293293565,-1.47636,-3.9081862,4.1777453,20.694595336914062,20.412999999999954
ish_20010206,100.34583484215658,-2.7935884,-1.4222971,3.134815,63.01802062988281,19.648000000000025
ish_20010211,321.6166685147529,-13.102862,-2.99825,13.441522,77.11123657226562,16.255999999999972
ish_20010212,244.09768106757605,-5.3865438,2.2991903,5.8567166,113.11471557617188,15.79200000000003
ish_20010217,103.66902121664894,-4.95319,-3.5086174,6.069966,54.68794250488281,20.87700000000001
ish_20010218,71.31570271616418,-2.4561234,-1.1044704,2.6930275,65.7874755859375,24.30000000000001
ish_20010220,188.46577578174728,-6.0770574,-2.4734714,6.5611496,67.852783203125,18.617999999999995
ish_20010223,497.74593446422386,-7.5703273,7.589466,10.719602,135.0723419189453,16.288999999999987
ish_20010226,283.33080781307825,-9.477944,-2.373517,9.770619,75.94081115722656,16.767999999999972
ish_20010227,201.1072622461556,-8.940162,1.5763874,9.078077,99.99998474121094,14.975999999999999
ish_20010302,112.52805503376499,-3.6510446,-5.521527,6.61947,33.47419738769531,20.26600000000002
ish_20010303,151.7026842797465,-2.9573576,2.3302107,3.7650826,128.2358856201172,15.180999999999983
ish_20010305,62.379764357583134,-5.7929406,-1.3887248,5.957073,76.51904296875,19.839
ish_20010306,82.12794964984539,-1.9252523,1.3998157,2.380353,126.02021789550781,16.899999999999977
ish_20010309,123.52553164124866,-4.2081885,-6.9733157,8.1446905,31.109725952148438,20.015000000000043
ish_20010310,78.7455160980265,-2.7812548,0.24897198,2.7923763,95.11537170410156,18.365999999999985
ish_20010314,98.081266230852,-2.0247712,5.9440837,6.2794766,161.18929290771484,17.12900000000002
ish_20010316,188.85345479627085,-2.8056326,5.590359,6.2548933,153.34931182861328,17.024
ish_20010319,223.22339866117775,-4.778301,-0.7101836,4.8307886,81.54618835449219,18.37900000000002
ish_20010322,95.10359041157783,-2.7779229,-0.35282204,2.800239,82.76164245605469,18.94599999999997
ish_20010324,497.56882294226887,4.9428244,8.546355,9.872776,210.04314041137695,13.761000000000024
ish_20010330,57.77837202060599,-4.2756,-0.79445213,4.3487825,79.47386169433594,17.86700000000002
ish_20010401,169.89876560256687,-7.689692,-4.4396715,8.879305,59.999847412109375,12.615999999999985
ish_20010402,207.7391537362903,-4.0139427,5.8764663,7.1165013,145.66482543945312,14.560999999999979
ish_20010408,137.20525394313623,-2.013325,-0.75568527,2.1504738,69.42677307128906,16.894000000000005
ish_20010409,451.82476828894,3.0521572,-5.7872124,6.542743,332.1929740905762,13.560000000000002
ish_20010410,190.17907075608798,-0.5943444,-6.7110667,6.7373333,5.061012268066406,21.12700000000001
ish_20010413,119.61867743292733,-4.1516166,-0.45414305,4.176382,83.75726318359375,17.60300000000001
ish_20010415,217.76404431952358,-7.5274167,0.12208978,7.5284066,90.92922973632812,13.315999999999974
ish_20010416,326.0265963637836,-4.498388,5.976642,7.480357,143.0326385498047,13.140999999999963
ish_20010418,291.992068140221,-0.5486865,-6.5820374,6.6048675,4.765220642089844,12.801999999999964
ish_20010419,159.1566294624423,-4.1357265,2.6968262,4.9373174,123.10758972167969,15.533999999999992
